iter	Passed	Remaining
447	1119	1378
448	1120	1375
449	1122	1371
450	1124	1368
451	1126	1366
452	1128	1362
453	1130	1359
454	1132	1356
455	1134	1352
456	1136	1349
457	1137	1346
458	1139	1343
459	1141	1340
460	1143	1337
461	1145	1333
462	1147	1331
463	1149	1327
464	1151	1325
465	1154	1322
466	1155	1319
467	1157	1316
468	1159	1312
469	1161	1310
470	1163	1307
471	1165	1304
472	1167	1301
473	1169	1298
474	1171	1295
475	1173	1291
476	1175	1289
477	1177	1285
478	1179	1282
479	1181	1279
480	1183	1277
481	1185	1274
482	1187	1270
483	1189	1268
484	1192	1265
485	1194	1262
486	1196	1260
487	1198	1257
488	1200	1254
489	1202	1251
490	1205	1249
491	1207	1246
492	1209	1243
493	1211	1241
494	1213	1237
495	1214	1233
496	1215	1230
497	1218	1228
498	1220	1225
499	1221	1221
500	1222	1217
501	1225	1215
502	1227	1212
503	1228	1209
504	1230	1205
505	1232	1203
506	1234	1200
507	1236	1197
508	1238	1194
509	1240	1191
510	1241	1188
511	1243	1184
512	1244	1181
513	1246	1178
514	1248	1175
515	1249	1172
516	1251	1168
517	1253	1166
518	1255	1163
519	1256	1159
520	1257	1156
521	1259	1153
522	1261	1150
523	1262	1146
524	1263	1143
525	1264	1139
526	1267	1137
527	1268	1134
528	1269	1130
529	1271	1127
530	1272	1123
531	1274	1120
532	1275	1117
533	1276	1114
534	1278	1110
535	1279	1107
536	1281	1105
537	1282	1101
538	1284	1098
539	1285	1094
540	1286	1091
541	1288	1089
542	1290	1086
543	1292	1083
544	1293	1080
545	1295	1077
546	1297	1074
547	1298	1071
548	1299	1067
549	1301	1064
550	1303	1062
551	1304	1058
552	1305	1055
553	1307	1052
554	1308	1049
555	1310	1046
556	1312	1043
557	1313	1040
558	1314	1037
559	1316	1034
560	1318	1031
561	1319	1028
562	1320	1025
563	1322	1022
564	1323	1019
565	1325	1016
566	1326	1013
567	1328	1010
568	1329	1007
569	1331	1004
570	1333	1001
571	1334	998
572	1336	995
573	1337	992
574	1339	990
575	1341	987
576	1342	984
577	1343	981
578	1345	978
579	1347	975
580	1348	972
581	1350	969
582	1351	966
583	1352	963
584	1354	961
585	1356	958
586	1357	955
587	1359	952
588	1360	949
589	1362	946
590	1363	943
591	1364	940
592	1366	937
593	1367	934
594	1369	932
595	1370	929
596	1372	926
597	1373	923
598	1375	920
599	1376	917
600	1378	915
601	1380	912
602	1381	909
603	1383	906
604	1384	903
605	1385	900
606	1386	897
607	1388	895
608	1390	892
609	1392	890
610	1393	887
611	1396	885
612	1398	882
613	1400	880
614	1401	877
